date,apple_driving,apple_walking,apple,google_retail,google_grocery,google_workplaces,google_residential,google_transit,google,telco,applegoogle,region
2021-02-25,0.820282587334395,0.962484796270018,0.8873031701768109,0.6944024205748865,0.9217877094972067,0.9960937500000001,1.0349462365591398,0.7274436090225563,0.8327137546468402,0.9033525964966763,0.8600084624118256,denmark
2021-02-26,0.8290470865946079,0.9735708493817149,0.8971618288976334,0.7276853252647503,0.9287709497206703,1.0019531250000002,1.032258064516129,0.7368421052631579,0.8471705906650145,0.9119956327772003,0.872166209781324,denmark
2020-06-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,north
2020-06-05,0.9865621392843399,0.9984970391671595,0.9924078463705384,1.0445402298850575,1.0078125,1.1153119092627601,0.989159891598916,1.0241545893719808,1.0432287681713848,1.0332207398582753,1.0178183072709617,north
2020-06-06,0.9875817622162368,0.9929260643467631,0.9901993983205978,1.0229885057471264,0.9830729166666667,1.117202268431002,0.9905149051490515,1.0161030595813205,1.028691660290742,1.0583265549513563,1.0094455293056699,north
2020-06-07,0.9953251250480952,1.0056411129925955,1.0003778899996563,1.0129310344827585,0.97265625,1.1190926275992439,0.9905149051490515,1.0144927536231885,1.0229533282325938,1.0767641445788847,1.011665609116125,north
2020-06-08,1.0010196229318968,1.0330651383224954,1.016715497906882,1.0,0.9518229166666667,1.1228733459357279,0.989159891598916,1.0112721417069244,1.013389441469013,1.0786815489033836,1.0150524696879475,north
2020-06-09,1.0226625625240473,1.0518621684718896,1.0369645126936684,1.0488505747126438,0.9765625,1.2136105860113422,0.9728997289972899,1.0499194847020934,1.0612088752869164,1.1169105054406512,1.0490866939902923,north
2020-06-10,1.0401115813774526,1.0688456258829895,1.0541854998208702,1.0387931034482758,0.9596354166666667,1.2325141776937618,0.9688346883468835,1.0821256038647344,1.0650344299923489,1.1236443757489512,1.0596099649066095,north
2020-06-11,1.0576952674105424,1.0956784866186389,1.0762994262942729,1.0545977011494254,0.9661458333333334,1.2514177693761814,0.9634146341463414,1.1207729468599035,1.0841622035195102,1.1384213538518606,1.0802308149068915,north
2020-06-12,1.07188341669873,1.1132030099295613,1.0921217296565127,1.0675287356321839,0.97265625,1.2533081285444234,0.9593495934959348,1.1400966183574879,1.0944912012241774,1.1469423696550696,1.093306465440345,north
2020-06-13,1.0913332050788764,1.1466989970241375,1.118451338074135,1.0847701149425288,0.9830729166666667,1.2533081285444234,0.9566395663956639,1.1594202898550725,1.1067329762815608,1.1301422000344765,1.1125921571778479,north
2020-06-14,1.1060023085802229,1.1622897107301386,1.1335718457227268,1.0977011494252873,0.9921875000000001,1.2514177693761814,0.9552845528455284,1.175523349436393,1.1162968630451415,1.1283036039075414,1.1249343543839343,north
2020-06-15,1.118843786071566,1.1712974559882972,1.1445355633750975,1.1063218390804597,0.9947916666666666,1.2514177693761814,0.9539295392953929,1.1867954911433174,1.1220351951032899,1.1327817211349063,1.1332853792391937,north
2020-06-16,1.1296171604463252,1.1756460226646495,1.1521620706408917,1.110632183908046,0.9947916666666666,1.2495274102079397,0.9525745257452575,1.1932367149758456,1.1243305279265492,1.131709274704807,1.1382462992837206,north
2020-06-17,1.1358118507118122,1.172409647004599,1.153737430249849,1.1120689655172413,0.9960937500000001,1.2325141776937618,0.9539295392953929,1.173913043478261,1.117061973986228,1.1248861788388325,1.1353997021180384,north
2020-06-18,1.1514428626394766,1.1808162079296216,1.1658299102388558,1.1135057471264367,0.9986979166666667,1.2211720226843101,0.9552845528455284,1.1594202898550725,1.1124713083397093,1.1182202848114355,1.1391506092892825,north
2020-06-19,1.1692862639476722,1.2066470947767103,1.187585577361935,1.117816091954023,1.0,1.2117202268431002,0.9566395663956639,1.1594202898550725,1.1120887528691659,1.1150681285495603,1.1498371651155503,north
2020-06-20,1.1763370527125816,1.2187208801338636,1.1970966269636782,1.1206896551724137,1.0,1.2060491493383743,0.9539295392953929,1.1594202898550725,1.1117061973986229,1.1158552616920194,1.1544014121811506,north
2020-06-21,1.1967679876875719,1.2350831137340559,1.2155347143495134,1.1264367816091954,0.9973958333333334,1.2041587901701323,0.951219512195122,1.1626409017713366,1.1128538638102523,1.1215340379681447,1.1641942890798829,north
2020-06-22,1.2148133897652944,1.2531687424225726,1.233599819398026,1.1307471264367817,1.0026041666666667,1.2003780718336483,0.9498644986449863,1.172302737520129,1.117061973986228,1.129307771452141,1.175330896692127,north
2020-06-23,1.236764140053867,1.2830375840405601,1.259428846257662,1.1336206896551724,1.00390625,1.2003780718336483,0.9471544715447154,1.1835748792270533,1.1208875286916602,1.1376535198741098,1.190158187474661,north
2020-06-24,1.2786552520200076,1.3329158442131002,1.3052320588134252,1.1379310344827585,1.0130208333333333,1.2041587901701323,0.9417344173441735,1.2318840579710146,1.1369548584544757,1.1530982662029685,1.2210934586339506,north
2020-06-25,1.3094170834936512,1.3687163712513655,1.338461840471528,1.1379310344827585,1.01953125,1.1965973534971646,0.9417344173441735,1.2351046698872787,1.1381025248661056,1.157320339974335,1.2382821826688168,north
2020-06-26,1.3464409388226242,1.4016312134905768,1.3734731035565826,1.146551724137931,1.0247395833333335,1.1833648393194707,0.943089430894309,1.2302737520128826,1.1381025248661056,1.1584189023143276,1.2557878142113441,north
2020-06-27,1.3948345517506728,1.4430027153492382,1.4184272905287023,1.1666666666666667,1.0403645833333333,1.164461247637051,0.9485094850948509,1.2206119162640903,1.1419280795715379,1.1531923148144554,1.28017768505012,north
2020-06-28,1.4365332820315502,1.485937296474054,1.4607313398408934,1.1939655172413792,1.0559895833333335,1.1455576559546314,0.951219512195122,1.2206119162640903,1.1499617444529457,1.149580190263409,1.3053465421469195,north
2020-06-29,1.4759619084263176,1.5299740488762865,1.5024170236991012,1.214080459770115,1.0651041666666667,1.1209829867674859,0.9539295392953929,1.2157809983896941,1.1518745218056619,1.0955878050797132,1.3271457727523814,north
2020-06-30,1.5027702962677951,1.5572177189062455,1.529438612505705,1.2255747126436782,1.0703125,1.0945179584120983,0.9579945799457994,1.209339774557166,1.1495791889824023,1.0932720792512751,1.3395089007440535,north
2020-07-01,1.537360523278184,1.5894512189012358,1.5628745159818023,1.2370689655172413,1.0729166666666667,1.0850661625708884,0.9607046070460705,1.2061191626409018,1.1507268553940322,1.0873792665540172,1.3568006856879173,north
2020-07-02,1.560590611773759,1.602516958408064,1.5811261121989761,1.2442528735632183,1.07421875,1.0756143667296787,0.962059620596206,1.2028985507246377,1.1503442999234887,1.0827176808457672,1.3657352060612324,north
2020-07-03,1.5987398999615234,1.6477360399987977,1.6227381811221857,1.2629310344827587,1.0833333333333335,1.0510396975425331,0.9647696476964769,1.1996779388083736,1.152257077276205,1.081856091081715,1.3874976291991954,north
2020-07-04,1.6410542516352442,1.7217217919301024,1.6805651663942909,1.278735632183908,1.0833333333333335,1.0302457466918715,0.9661246612466124,1.2190016103059582,1.1568477429227237,1.088036733327,1.4187064546585073,north
2020-07-05,1.6835225086571757,1.7926615432401831,1.7369787449144345,1.2902298850574712,1.0807291666666667,1.00945179584121,0.9674796747967479,1.2190016103059582,1.1549349655700076,1.0941551507883216,1.445956855242221,north
2020-07-06,1.7196325509811465,1.8445637906676156,1.780823800199251,1.3017241379310343,1.0794270833333335,0.994328922495274,0.9688346883468835,1.2286634460547505,1.1568477429227237,1.1492563990853661,1.4688357715609874,north
2020-07-07,1.760388611004232,1.8925383004518903,1.8251154527563882,1.3074712643678161,1.0794270833333335,0.9810964083175803,0.970189701897019,1.2334943639291467,1.1568477429227237,1.14927301266595,1.490981597839556,north
