date,region,rw,population,inference,cases,hospit,deaths,cases_smoothed,hospit_smoothed,deaths_smoothed,cases_per_100000,hospit_per_100000,deaths_per_100000,cases_incidence,hospit_incidence,deaths_incidence,cumulative_cases,cumulative_hospit,cumulative_deaths
2020-10-28,zealand,90,838840,false,141,2,0,119.14285714285714,3.142857142857143,0.14285714285714285,16.808926612941683,0.2384244909637118,0.0,83.09093510085356,2.503457155118974,0.1192122454818559,5404,687,131
2020-10-29,zealand,91,838840,false,120,2,0,119.85714285714286,3.142857142857143,0.14285714285714285,14.305469457822706,0.2384244909637118,0.0,88.45548614753707,2.503457155118974,0.1192122454818559,5524,689,131
2020-10-30,zealand,92,838840,false,152,4,0,131.85714285714286,2.7142857142857144,0.0,18.120261313242096,0.4768489819274236,0.0,97.15798006771256,2.384244909637118,0.1192122454818559,5676,693,131
2020-10-31,zealand,93,838840,false,108,5,0,133.42857142857142,3.4285714285714284,0.0,12.874922512040436,0.5960612274092795,0.0,99.42301273186781,2.6226694006008295,0.1192122454818559,5784,698,131
2020-11-01,zealand,94,838840,false,84,1,0,137.85714285714286,4.714285714285714,0.14285714285714285,10.013828620475897,0.1192122454818559,0.0,100.0190739592771,2.6226694006008295,0.1192122454818559,5868,699,131
2020-11-02,zealand,95,838840,false,183,4,0,140.71428571428572,5.571428571428571,0.42857142857142855,21.81584092317963,0.4768489819274236,0.0,110.03290257975299,2.265032664155262,0.0,6051,703,131
2020-11-03,zealand,96,838840,false,146,6,0,139.57142857142858,5.285714285714286,0.5714285714285714,17.404987840350962,0.7152734728911354,0.0,111.3442372800534,2.8610938915645416,0.0,6197,709,131
2020-11-04,zealand,97,838840,false,172,11,1,140.57142857142858,5.285714285714286,0.5714285714285714,20.504506222879215,1.3113347003004148,0.1192122454818559,115.03981688999095,3.934004100901245,0.1192122454818559,6369,720,132
2020-11-05,zealand,98,838840,false,140,8,2,141.42857142857142,6.142857142857143,0.8571428571428571,16.689714367459825,0.9536979638548472,0.2384244909637118,117.42406179962806,4.64927757379238,0.3576367364455677,6509,728,134
2020-11-06,zealand,99,838840,false,144,2,1,132.14285714285714,6.714285714285714,0.8571428571428571,17.16656334938725,0.2384244909637118,0.1192122454818559,116.47036383577324,4.410853082828668,0.4768489819274236,6653,730,135
2020-11-07,zealand,100,838840,false,115,5,0,132.28571428571428,6.714285714285714,0.8571428571428571,13.709408230413429,0.5960612274092795,0.0,117.30484955414622,4.410853082828668,0.4768489819274236,6768,735,135
2020-11-08,zealand,101,838840,false,90,7,2,129.42857142857142,6.0,0.7142857142857143,10.72910209336703,0.8344857183729912,0.2384244909637118,118.02012302703731,5.126126555719804,0.7152734728911354,6858,742,137
2020-11-09,zealand,102,838840,false,118,8,0,126.28571428571429,5.285714285714286,0.42857142857142855,14.067044966858996,0.9536979638548472,0.0,110.27132707071671,5.602975537647227,0.7152734728911354,6976,750,137
2020-11-10,zealand,103,838840,false,147,6,0,127.28571428571429,5.714285714285714,0.2857142857142857,17.524200085832817,0.7152734728911354,0.0,110.39053931619857,5.602975537647227,0.7152734728911354,7123,756,137
2020-11-11,zealand,104,838840,false,152,6,0,125.57142857142857,6.0,0.42857142857142855,18.120261313242096,0.7152734728911354,0.0,108.00629440656142,5.006914310237948,0.5960612274092795,7275,762,137
2020-11-12,zealand,105,838840,false,118,3,0,128.42857142857142,5.428571428571429,0.14285714285714285,14.067044966858996,0.3576367364455677,0.0,105.38362500596061,4.410853082828668,0.3576367364455677,7393,765,137
2020-11-13,zealand,106,838840,false,151,5,0,132.0,5.142857142857143,0.14285714285714285,18.00104906776024,0.5960612274092795,0.0,106.21811072433361,4.768489819274236,0.2384244909637118,7544,770,137
