"Region";"Dato";"Bekræftede tilfælde"
Syddanmark;2021-03-02;147
Hovedstaden;2021-03-03;213
Midtjylland;2021-03-03;74
Nordjylland;2021-03-03;22
Sjælland;2021-03-03;84
Syddanmark;2021-03-03;147
Hovedstaden;2021-03-04;225
Midtjylland;2021-03-04;47
Nordjylland;2021-03-04;18
Sjælland;2021-03-04;81
Syddanmark;2021-03-04;110
Hovedstaden;2021-03-05;207
Midtjylland;2021-03-05;58
Nordjylland;2021-03-05;21
Sjælland;2021-03-05;66
Syddanmark;2021-03-05;112
Hovedstaden;2021-03-06;203
Midtjylland;2021-03-06;46
Nordjylland;2021-03-06;17
Sjælland;2021-03-06;71
Syddanmark;2021-03-06;110
Hovedstaden;2021-03-07;189
Midtjylland;2021-03-07;73
Nordjylland;2021-03-07;23
Sjælland;2021-03-07;60
Syddanmark;2021-03-07;107
Hovedstaden;2021-03-08;254
Midtjylland;2021-03-08;92
Nordjylland;2021-03-08;21
Sjælland;2021-03-08;79
Syddanmark;2021-03-08;149
Hovedstaden;2021-03-09;266
Midtjylland;2021-03-09;89
Nordjylland;2021-03-09;18
Sjælland;2021-03-09;79
Syddanmark;2021-03-09;186
Hovedstaden;2021-03-10;211
Midtjylland;2021-03-10;79
Nordjylland;2021-03-10;24
Sjælland;2021-03-10;58
Syddanmark;2021-03-10;165
Hovedstaden;2021-03-11;248
Midtjylland;2021-03-11;69
Nordjylland;2021-03-11;34
Sjælland;2021-03-11;82
Syddanmark;2021-03-11;147
Hovedstaden;2021-03-12;215
Midtjylland;2021-03-12;61
Nordjylland;2021-03-12;20
Sjælland;2021-03-12;62
Syddanmark;2021-03-12;121
Hovedstaden;2021-03-13;192
Midtjylland;2021-03-13;60
Nordjylland;2021-03-13;23
Sjælland;2021-03-13;47
Syddanmark;2021-03-13;139
Hovedstaden;2021-03-14;216
Midtjylland;2021-03-14;69
Nordjylland;2021-03-14;23
Sjælland;2021-03-14;47
Syddanmark;2021-03-14;131
Hovedstaden;2021-03-15;255
Midtjylland;2021-03-15;82
Nordjylland;2021-03-15;28
Sjælland;2021-03-15;79
Syddanmark;2021-03-15;190
Hovedstaden;2021-03-16;274
Midtjylland;2021-03-16;124
Nordjylland;2021-03-16;49
Sjælland;2021-03-16;92
Syddanmark;2021-03-16;201
Hovedstaden;2021-03-17;250
Midtjylland;2021-03-17;86
Nordjylland;2021-03-17;41
Sjælland;2021-03-17;86
Syddanmark;2021-03-17;196
Hovedstaden;2021-03-18;287
Midtjylland;2021-03-18;73
Nordjylland;2021-03-18;29
Sjælland;2021-03-18;83
Syddanmark;2021-03-18;172
Hovedstaden;2021-03-19;327
Midtjylland;2021-03-19;73
Nordjylland;2021-03-19;21
Sjælland;2021-03-19;82
Syddanmark;2021-03-19;136
Hovedstaden;2021-03-20;286
Midtjylland;2021-03-20;68
Nordjylland;2021-03-20;39
Sjælland;2021-03-20;53
Syddanmark;2021-03-20;131
Hovedstaden;2021-03-21;276
Midtjylland;2021-03-21;83
Nordjylland;2021-03-21;31
Sjælland;2021-03-21;51
Syddanmark;2021-03-21;120
Hovedstaden;2021-03-22;361
Midtjylland;2021-03-22;100
Nordjylland;2021-03-22;45
Sjælland;2021-03-22;80
Syddanmark;2021-03-22;189
Hovedstaden;2021-03-23;390
Midtjylland;2021-03-23;128
Nordjylland;2021-03-23;35
Sjælland;2021-03-23;89
Syddanmark;2021-03-23;159
Hovedstaden;2021-03-24;388
Midtjylland;2021-03-24;108
Nordjylland;2021-03-24;41
Sjælland;2021-03-24;80
Syddanmark;2021-03-24;161
Hovedstaden;2021-03-25;350
Midtjylland;2021-03-25;78
Nordjylland;2021-03-25;28
Sjælland;2021-03-25;63
Syddanmark;2021-03-25;116
Hovedstaden;2021-03-26;372
Midtjylland;2021-03-26;80
Nordjylland;2021-03-26;24
Sjælland;2021-03-26;79
Syddanmark;2021-03-26;139
Hovedstaden;2021-03-27;336
Midtjylland;2021-03-27;101
Nordjylland;2021-03-27;36
Sjælland;2021-03-27;78
Syddanmark;2021-03-27;118
Hovedstaden;2021-03-28;322
Midtjylland;2021-03-28;76
Nordjylland;2021-03-28;25
Sjælland;2021-03-28;63
Syddanmark;2021-03-28;124
Hovedstaden;2021-03-29;404
Midtjylland;2021-03-29;97
Nordjylland;2021-03-29;40
Sjælland;2021-03-29;89
Syddanmark;2021-03-29;133
Hovedstaden;2021-03-30;366
Midtjylland;2021-03-30;92
Nordjylland;2021-03-30;41
Sjælland;2021-03-30;63
Syddanmark;2021-03-30;106
Hovedstaden;2021-03-31;371
Midtjylland;2021-03-31;100
Nordjylland;2021-03-31;50
Sjælland;2021-03-31;58
Syddanmark;2021-03-31;106
Hovedstaden;2021-04-01;355
Midtjylland;2021-04-01;109
Nordjylland;2021-04-01;46
Sjælland;2021-04-01;90
Syddanmark;2021-04-01;106
Hovedstaden;2021-04-02;273
Midtjylland;2021-04-02;90
Nordjylland;2021-04-02;36
Sjælland;2021-04-02;63
Syddanmark;2021-04-02;86
Hovedstaden;2021-04-03;239
Midtjylland;2021-04-03;109
Nordjylland;2021-04-03;39
Sjælland;2021-04-03;56
Syddanmark;2021-04-03;73
Hovedstaden;2021-04-04;240
Midtjylland;2021-04-04;75
Nordjylland;2021-04-04;42
Sjælland;2021-04-04;41
Syddanmark;2021-04-04;61
Hovedstaden;2021-04-05;269
Midtjylland;2021-04-05;88
Nordjylland;2021-04-05;50
Sjælland;2021-04-05;64
Syddanmark;2021-04-05;80
Hovedstaden;2021-04-06;373
Midtjylland;2021-04-06;97
Nordjylland;2021-04-06;52
Sjælland;2021-04-06;64
Syddanmark;2021-04-06;109
Hovedstaden;2021-04-07;325
Midtjylland;2021-04-07;108
Nordjylland;2021-04-07;68
Sjælland;2021-04-07;84
Syddanmark;2021-04-07;119
Hovedstaden;2021-04-08;356
Midtjylland;2021-04-08;126
Nordjylland;2021-04-08;39
Sjælland;2021-04-08;97
Syddanmark;2021-04-08;88
Hovedstaden;2021-04-09;369
Midtjylland;2021-04-09;93
Nordjylland;2021-04-09;54
Sjælland;2021-04-09;91
Syddanmark;2021-04-09;108
Hovedstaden;2021-04-10;259
Midtjylland;2021-04-10;75
Nordjylland;2021-04-10;58
Sjælland;2021-04-10;57
Syddanmark;2021-04-10;93
Hovedstaden;2021-04-11;237
Midtjylland;2021-04-11;97
Nordjylland;2021-04-11;41
Sjælland;2021-04-11;74
Syddanmark;2021-04-11;79
Hovedstaden;2021-04-12;360
Midtjylland;2021-04-12;107
Nordjylland;2021-04-12;68
Sjælland;2021-04-12;106
Syddanmark;2021-04-12;106
Hovedstaden;2021-04-13;332
Midtjylland;2021-04-13;151
Nordjylland;2021-04-13;54
Sjælland;2021-04-13;100
Syddanmark;2021-04-13;96
Hovedstaden;2021-04-14;333
Midtjylland;2021-04-14;135
Nordjylland;2021-04-14;54
Sjælland;2021-04-14;75
Syddanmark;2021-04-14;93
Hovedstaden;2021-04-15;325
Midtjylland;2021-04-15;155
Nordjylland;2021-04-15;49
Sjælland;2021-04-15;89
Syddanmark;2021-04-15;107
Hovedstaden;2021-04-16;331
Midtjylland;2021-04-16;143
Nordjylland;2021-04-16;44
Sjælland;2021-04-16;86
Syddanmark;2021-04-16;96
Hovedstaden;2021-04-17;307
Midtjylland;2021-04-17;136
Nordjylland;2021-04-17;56
Sjælland;2021-04-17;70
Syddanmark;2021-04-17;78
Hovedstaden;2021-04-18;351
Midtjylland;2021-04-18;151
Nordjylland;2021-04-18;50
Sjælland;2021-04-18;78
Syddanmark;2021-04-18;79
Hovedstaden;2021-04-19;378
Midtjylland;2021-04-19;181
Nordjylland;2021-04-19;89
Sjælland;2021-04-19;102
Syddanmark;2021-04-19;107
Hovedstaden;2021-04-20;358
Midtjylland;2021-04-20;196
Nordjylland;2021-04-20;82
Sjælland;2021-04-20;99
Syddanmark;2021-04-20;103
Hovedstaden;2021-04-21;315
Midtjylland;2021-04-21;144
Nordjylland;2021-04-21;39
Sjælland;2021-04-21;86
Syddanmark;2021-04-21;72
Hovedstaden;2021-04-22;288
Midtjylland;2021-04-22;104
Nordjylland;2021-04-22;51
Sjælland;2021-04-22;84
Syddanmark;2021-04-22;88
Hovedstaden;2021-04-23;259
Midtjylland;2021-04-23;119
Nordjylland;2021-04-23;79
Sjælland;2021-04-23;64
Syddanmark;2021-04-23;93
Hovedstaden;2021-04-24;229
Midtjylland;2021-04-24;131
Nordjylland;2021-04-24;61
Sjælland;2021-04-24;67
Syddanmark;2021-04-24;75
Hovedstaden;2021-04-25;272
Midtjylland;2021-04-25;118
Nordjylland;2021-04-25;64
Sjælland;2021-04-25;64
Syddanmark;2021-04-25;75
Hovedstaden;2021-04-26;346
Midtjylland;2021-04-26;130
Nordjylland;2021-04-26;74
Sjælland;2021-04-26;101
Syddanmark;2021-04-26;111
Hovedstaden;2021-04-27;431
Midtjylland;2021-04-27;147
Nordjylland;2021-04-27;75
Sjælland;2021-04-27;95
Syddanmark;2021-04-27;138
Hovedstaden;2021-04-28;393
Midtjylland;2021-04-28;146
Nordjylland;2021-04-28;65
Sjælland;2021-04-28;92
Syddanmark;2021-04-28;108
Hovedstaden;2021-04-29;377
Midtjylland;2021-04-29;146
Nordjylland;2021-04-29;59
Sjælland;2021-04-29;98
Syddanmark;2021-04-29;112
Hovedstaden;2021-04-30;367
Midtjylland;2021-04-30;129
Nordjylland;2021-04-30;64
Sjælland;2021-04-30;69
Syddanmark;2021-04-30;125
Hovedstaden;2021-05-01;301
Midtjylland;2021-05-01;159
Nordjylland;2021-05-01;64
Sjælland;2021-05-01;68
Syddanmark;2021-05-01;95
Hovedstaden;2021-05-02;354
Midtjylland;2021-05-02;135
Nordjylland;2021-05-02;59
Sjælland;2021-05-02;55
Syddanmark;2021-05-02;104
Hovedstaden;2021-05-03;489
Midtjylland;2021-05-03;190
Nordjylland;2021-05-03;73
Sjælland;2021-05-03;135
Syddanmark;2021-05-03;128
Hovedstaden;2021-05-04;460
Midtjylland;2021-05-04;196
Nordjylland;2021-05-04;58
Sjælland;2021-05-04;117
Syddanmark;2021-05-04;133
Hovedstaden;2021-05-05;507
Midtjylland;2021-05-05;199
Nordjylland;2021-05-05;86
Sjælland;2021-05-05;122
Syddanmark;2021-05-05;135
Hovedstaden;2021-05-06;439
Midtjylland;2021-05-06;153
Nordjylland;2021-05-06;56
Sjælland;2021-05-06;145
Syddanmark;2021-05-06;86
Hovedstaden;2021-05-07;419
Midtjylland;2021-05-07;175
Nordjylland;2021-05-07;61
Sjælland;2021-05-07;113
Syddanmark;2021-05-07;127
Hovedstaden;2021-05-08;438
Midtjylland;2021-05-08;177
Nordjylland;2021-05-08;64
Sjælland;2021-05-08;84
Syddanmark;2021-05-08;83
Hovedstaden;2021-05-09;390
Midtjylland;2021-05-09;151
Nordjylland;2021-05-09;73
Sjælland;2021-05-09;98
Syddanmark;2021-05-09;82
Hovedstaden;2021-05-10;468
Midtjylland;2021-05-10;282
Nordjylland;2021-05-10;73
Sjælland;2021-05-10;183
Syddanmark;2021-05-10;116
Hovedstaden;2021-05-11;614
Midtjylland;2021-05-11;265
Nordjylland;2021-05-11;116
Sjælland;2021-05-11;166
Syddanmark;2021-05-11;129
Hovedstaden;2021-05-12;556
Midtjylland;2021-05-12;204
Nordjylland;2021-05-12;102
Sjælland;2021-05-12;187
Syddanmark;2021-05-12;100
Hovedstaden;2021-05-13;438
Midtjylland;2021-05-13;151
Nordjylland;2021-05-13;102
Sjælland;2021-05-13;119
Syddanmark;2021-05-13;90
Hovedstaden;2021-05-14;394
Midtjylland;2021-05-14;162
Nordjylland;2021-05-14;77
Sjælland;2021-05-14;135
Syddanmark;2021-05-14;97
Hovedstaden;2021-05-15;415
Midtjylland;2021-05-15;192
Nordjylland;2021-05-15;97
Sjælland;2021-05-15;133
Syddanmark;2021-05-15;101
Hovedstaden;2021-05-16;441
Midtjylland;2021-05-16;147
Nordjylland;2021-05-16;105
Sjælland;2021-05-16;124
Syddanmark;2021-05-16;99
Hovedstaden;2021-05-17;494
Midtjylland;2021-05-17;209
Nordjylland;2021-05-17;109
Sjælland;2021-05-17;158
Syddanmark;2021-05-17;169
Hovedstaden;2021-05-18;542
Midtjylland;2021-05-18;182
Nordjylland;2021-05-18;120
Sjælland;2021-05-18;159
Syddanmark;2021-05-18;143
Hovedstaden;2021-05-19;496
Midtjylland;2021-05-19;178
Nordjylland;2021-05-19;126
Sjælland;2021-05-19;197
Syddanmark;2021-05-19;129
Hovedstaden;2021-05-20;451
Midtjylland;2021-05-20;144
Nordjylland;2021-05-20;142
Sjælland;2021-05-20;155
Syddanmark;2021-05-20;118
Hovedstaden;2021-05-21;370
Midtjylland;2021-05-21;130
Nordjylland;2021-05-21;85
Sjælland;2021-05-21;135
Syddanmark;2021-05-21;97
Hovedstaden;2021-05-22;326
Midtjylland;2021-05-22;167
Nordjylland;2021-05-22;99
Sjælland;2021-05-22;83
Syddanmark;2021-05-22;106
Hovedstaden;2021-05-23;304
Midtjylland;2021-05-23;181
Nordjylland;2021-05-23;113
Sjælland;2021-05-23;98
Syddanmark;2021-05-23;101
Hovedstaden;2021-05-24;356
Midtjylland;2021-05-24;180
Nordjylland;2021-05-24;98
Sjælland;2021-05-24;120
Syddanmark;2021-05-24;102
Hovedstaden;2021-05-25;420
Midtjylland;2021-05-25;222
Nordjylland;2021-05-25;152
Sjælland;2021-05-25;128
Syddanmark;2021-05-25;169
Hovedstaden;2021-05-26;543
Midtjylland;2021-05-26;176
Nordjylland;2021-05-26;187
Sjælland;2021-05-26;128
Syddanmark;2021-05-26;156
Hovedstaden;2021-05-27;434
Midtjylland;2021-05-27;191
Nordjylland;2021-05-27;107
Sjælland;2021-05-27;127
Syddanmark;2021-05-27;131
Hovedstaden;2021-05-28;370
Midtjylland;2021-05-28;180
Nordjylland;2021-05-28;114
Sjælland;2021-05-28;112
Syddanmark;2021-05-28;140
Hovedstaden;2021-05-29;353
Midtjylland;2021-05-29;147
Nordjylland;2021-05-29;110
Sjælland;2021-05-29;81
Syddanmark;2021-05-29;118
Hovedstaden;2021-05-30;335
Midtjylland;2021-05-30;167
Nordjylland;2021-05-30;123
Sjælland;2021-05-30;82
Syddanmark;2021-05-30;110
Hovedstaden;2021-05-31;429
Midtjylland;2021-05-31;190
Nordjylland;2021-05-31;152
Sjælland;2021-05-31;100
Syddanmark;2021-05-31;135
Hovedstaden;2021-06-01;497
Midtjylland;2021-06-01;198
Nordjylland;2021-06-01;174
Sjælland;2021-06-01;101
Syddanmark;2021-06-01;128
Hovedstaden;2021-06-02;411
Midtjylland;2021-06-02;192
Nordjylland;2021-06-02;140
Sjælland;2021-06-02;101
Syddanmark;2021-06-02;78
Hovedstaden;2021-06-03;347
Midtjylland;2021-06-03;133
Nordjylland;2021-06-03;101
Sjælland;2021-06-03;102
Syddanmark;2021-06-03;65
Hovedstaden;2021-06-04;302
Midtjylland;2021-06-04;160
Nordjylland;2021-06-04;83
Sjælland;2021-06-04;87
Syddanmark;2021-06-04;67
Hovedstaden;2021-06-05;237
Midtjylland;2021-06-05;143
Nordjylland;2021-06-05;83
Sjælland;2021-06-05;102
Syddanmark;2021-06-05;55
Hovedstaden;2021-06-06;237
Midtjylland;2021-06-06;121
Nordjylland;2021-06-06;76
Sjælland;2021-06-06;64
Syddanmark;2021-06-06;42
Hovedstaden;2021-06-07;268
Midtjylland;2021-06-07;123
Nordjylland;2021-06-07;90
Sjælland;2021-06-07;60
Syddanmark;2021-06-07;75
Hovedstaden;2021-06-08;219
Midtjylland;2021-06-08;97
Nordjylland;2021-06-08;60
Sjælland;2021-06-08;67
Syddanmark;2021-06-08;62
Hovedstaden;2021-06-09;190
Midtjylland;2021-06-09;101
Nordjylland;2021-06-09;61
Sjælland;2021-06-09;72
Syddanmark;2021-06-09;49
Hovedstaden;2021-06-10;174
Midtjylland;2021-06-10;80
Nordjylland;2021-06-10;66
Sjælland;2021-06-10;50
Syddanmark;2021-06-10;46
Hovedstaden;2021-06-11;121
Midtjylland;2021-06-11;75
Nordjylland;2021-06-11;49
Sjælland;2021-06-11;34
Syddanmark;2021-06-11;31
Hovedstaden;2021-06-12;108
Midtjylland;2021-06-12;43
Nordjylland;2021-06-12;36
Sjælland;2021-06-12;34
Syddanmark;2021-06-12;23
Hovedstaden;2021-06-13;85
Midtjylland;2021-06-13;50
Nordjylland;2021-06-13;37
Sjælland;2021-06-13;23
Syddanmark;2021-06-13;31
Hovedstaden;2021-06-14;116
Midtjylland;2021-06-14;60
Nordjylland;2021-06-14;49
Sjælland;2021-06-14;48
Syddanmark;2021-06-14;33
Hovedstaden;2021-06-15;125
Midtjylland;2021-06-15;61
Nordjylland;2021-06-15;56
Sjælland;2021-06-15;28
Syddanmark;2021-06-15;33
Hovedstaden;2021-06-16;141
Midtjylland;2021-06-16;61
Nordjylland;2021-06-16;23
Sjælland;2021-06-16;36
Syddanmark;2021-06-16;25
Hovedstaden;2021-06-17;100
Midtjylland;2021-06-17;37
Nordjylland;2021-06-17;29
Sjælland;2021-06-17;30
Syddanmark;2021-06-17;15
Hovedstaden;2021-06-18;97
Midtjylland;2021-06-18;43
Nordjylland;2021-06-18;28
Sjælland;2021-06-18;23
Syddanmark;2021-06-18;9
Hovedstaden;2021-06-19;92
Midtjylland;2021-06-19;21
Nordjylland;2021-06-19;22
Sjælland;2021-06-19;22
Syddanmark;2021-06-19;14
Hovedstaden;2021-06-20;75
Midtjylland;2021-06-20;39
Nordjylland;2021-06-20;17
Sjælland;2021-06-20;16
Syddanmark;2021-06-20;10
Hovedstaden;2021-06-21;107
Midtjylland;2021-06-21;29
Nordjylland;2021-06-21;17
Sjælland;2021-06-21;10
Syddanmark;2021-06-21;25
Hovedstaden;2021-06-22;100
Midtjylland;2021-06-22;21
Nordjylland;2021-06-22;14
Sjælland;2021-06-22;18
Syddanmark;2021-06-22;21
Hovedstaden;2021-06-23;97
Midtjylland;2021-06-23;36
Nordjylland;2021-06-23;34
Sjælland;2021-06-23;16
Syddanmark;2021-06-23;19
Hovedstaden;2021-06-24;108
Midtjylland;2021-06-24;42
Nordjylland;2021-06-24;21
Sjælland;2021-06-24;12
Syddanmark;2021-06-24;28
Hovedstaden;2021-06-25;96
Midtjylland;2021-06-25;35
Nordjylland;2021-06-25;20
Sjælland;2021-06-25;20
Syddanmark;2021-06-25;18
Hovedstaden;2021-06-26;93
Midtjylland;2021-06-26;16
Nordjylland;2021-06-26;13
Sjælland;2021-06-26;7
Syddanmark;2021-06-26;15
Hovedstaden;2021-06-27;116
Midtjylland;2021-06-27;18
Nordjylland;2021-06-27;21
Sjælland;2021-06-27;11
Syddanmark;2021-06-27;18
Hovedstaden;2021-06-28;169
Midtjylland;2021-06-28;40
Nordjylland;2021-06-28;37
Sjælland;2021-06-28;21
Syddanmark;2021-06-28;18
Hovedstaden;2021-06-29;247
Midtjylland;2021-06-29;37
Nordjylland;2021-06-29;44
Sjælland;2021-06-29;43
Syddanmark;2021-06-29;20
Hovedstaden;2021-06-30;303
Midtjylland;2021-06-30;58
Nordjylland;2021-06-30;31
Sjælland;2021-06-30;47
Syddanmark;2021-06-30;32
Hovedstaden;2021-07-01;208
Midtjylland;2021-07-01;45
Nordjylland;2021-07-01;27
Sjælland;2021-07-01;64
Syddanmark;2021-07-01;41
Hovedstaden;2021-07-02;221
Midtjylland;2021-07-02;53
Nordjylland;2021-07-02;26
Sjælland;2021-07-02;38
Syddanmark;2021-07-02;31
Hovedstaden;2021-07-03;184
Midtjylland;2021-07-03;53
Nordjylland;2021-07-03;37
Sjælland;2021-07-03;46
Syddanmark;2021-07-03;32
Hovedstaden;2021-07-04;226
Midtjylland;2021-07-04;64
Nordjylland;2021-07-04;28
Sjælland;2021-07-04;39
Syddanmark;2021-07-04;45
Hovedstaden;2021-07-05;307
Midtjylland;2021-07-05;146
Nordjylland;2021-07-05;46
Sjælland;2021-07-05;58
Syddanmark;2021-07-05;110
Hovedstaden;2021-07-06;346
Midtjylland;2021-07-06;111
Nordjylland;2021-07-06;34
Sjælland;2021-07-06;50
Syddanmark;2021-07-06;107
Hovedstaden;2021-07-07;293
Midtjylland;2021-07-07;143
Nordjylland;2021-07-07;36
Sjælland;2021-07-07;55
Syddanmark;2021-07-07;82
Hovedstaden;2021-07-08;265
Midtjylland;2021-07-08;120
Nordjylland;2021-07-08;35
Sjælland;2021-07-08;53
Syddanmark;2021-07-08;60
Hovedstaden;2021-07-09;297
Midtjylland;2021-07-09;128
Nordjylland;2021-07-09;27
Sjælland;2021-07-09;48
Syddanmark;2021-07-09;59
Hovedstaden;2021-07-10;349
Midtjylland;2021-07-10;129
Nordjylland;2021-07-10;33
Sjælland;2021-07-10;60
Syddanmark;2021-07-10;77
Hovedstaden;2021-07-11;476
Midtjylland;2021-07-11;209
Nordjylland;2021-07-11;41
Sjælland;2021-07-11;63
Syddanmark;2021-07-11;125
Hovedstaden;2021-07-12;568
Midtjylland;2021-07-12;262
Nordjylland;2021-07-12;45
Sjælland;2021-07-12;83
Syddanmark;2021-07-12;140
Hovedstaden;2021-07-13;622
Midtjylland;2021-07-13;265
Nordjylland;2021-07-13;52
Sjælland;2021-07-13;96
Syddanmark;2021-07-13;156
Hovedstaden;2021-07-14;607
Midtjylland;2021-07-14;298
Nordjylland;2021-07-14;46
Sjælland;2021-07-14;102
Syddanmark;2021-07-14;130
Hovedstaden;2021-07-15;549
Midtjylland;2021-07-15;239
Nordjylland;2021-07-15;45
Sjælland;2021-07-15;74
Syddanmark;2021-07-15;120
Hovedstaden;2021-07-16;401
Midtjylland;2021-07-16;196
Nordjylland;2021-07-16;33
Sjælland;2021-07-16;80
Syddanmark;2021-07-16;90
Hovedstaden;2021-07-17;384
Midtjylland;2021-07-17;171
Nordjylland;2021-07-17;43
Sjælland;2021-07-17;73
Syddanmark;2021-07-17;101
Hovedstaden;2021-07-18;320
Midtjylland;2021-07-18;159
Nordjylland;2021-07-18;39
Sjælland;2021-07-18;89
Syddanmark;2021-07-18;100
Hovedstaden;2021-07-19;386
Midtjylland;2021-07-19;237
Nordjylland;2021-07-19;60
Sjælland;2021-07-19;73
Syddanmark;2021-07-19;94
Hovedstaden;2021-07-20;389
Midtjylland;2021-07-20;193
Nordjylland;2021-07-20;35
Sjælland;2021-07-20;60
Syddanmark;2021-07-20;121
Hovedstaden;2021-07-21;367
Midtjylland;2021-07-21;199
Nordjylland;2021-07-21;60
Sjælland;2021-07-21;66
Syddanmark;2021-07-21;100
Hovedstaden;2021-07-22;295
Midtjylland;2021-07-22;181
Nordjylland;2021-07-22;49
Sjælland;2021-07-22;69
Syddanmark;2021-07-22;99
Hovedstaden;2021-07-23;296
Midtjylland;2021-07-23;193
Nordjylland;2021-07-23;46
Sjælland;2021-07-23;61
Syddanmark;2021-07-23;124
Hovedstaden;2021-07-24;263
Midtjylland;2021-07-24;182
Nordjylland;2021-07-24;58
Sjælland;2021-07-24;49
Syddanmark;2021-07-24;76
Hovedstaden;2021-07-25;342
Midtjylland;2021-07-25;199
Nordjylland;2021-07-25;55
Sjælland;2021-07-25;52
Syddanmark;2021-07-25;115
Hovedstaden;2021-07-26;399
Midtjylland;2021-07-26;274
Nordjylland;2021-07-26;108
Sjælland;2021-07-26;89
Syddanmark;2021-07-26;147
Hovedstaden;2021-07-27;392
Midtjylland;2021-07-27;249
Nordjylland;2021-07-27;125
Sjælland;2021-07-27;71
Syddanmark;2021-07-27;115
Hovedstaden;2021-07-28;373
Midtjylland;2021-07-28;214
Nordjylland;2021-07-28;160
Sjælland;2021-07-28;67
Syddanmark;2021-07-28;155
Hovedstaden;2021-07-29;308
Midtjylland;2021-07-29;221
Nordjylland;2021-07-29;126
Sjælland;2021-07-29;61
Syddanmark;2021-07-29;159
Hovedstaden;2021-07-30;330
Midtjylland;2021-07-30;209
Nordjylland;2021-07-30;89
Sjælland;2021-07-30;77
Syddanmark;2021-07-30;122
Hovedstaden;2021-07-31;282
Midtjylland;2021-07-31;178
Nordjylland;2021-07-31;115
Sjælland;2021-07-31;55
Syddanmark;2021-07-31;109
Hovedstaden;2021-08-01;326
Midtjylland;2021-08-01;180
Nordjylland;2021-08-01;115
Sjælland;2021-08-01;75
Syddanmark;2021-08-01;126
Hovedstaden;2021-08-02;334
Midtjylland;2021-08-02;227
Nordjylland;2021-08-02;113
Sjælland;2021-08-02;78
Syddanmark;2021-08-02;144
Hovedstaden;2021-08-03;301
Midtjylland;2021-08-03;239
Nordjylland;2021-08-03;86
Sjælland;2021-08-03;92
Syddanmark;2021-08-03;149
Hovedstaden;2021-08-04;346
Midtjylland;2021-08-04;213
Nordjylland;2021-08-04;112
Sjælland;2021-08-04;67
Syddanmark;2021-08-04;171
Hovedstaden;2021-08-05;351
Midtjylland;2021-08-05;200
Nordjylland;2021-08-05;120
Sjælland;2021-08-05;73
Syddanmark;2021-08-05;177
Hovedstaden;2021-08-06;367
Midtjylland;2021-08-06;202
Nordjylland;2021-08-06;109
Sjælland;2021-08-06;87
Syddanmark;2021-08-06;139
Hovedstaden;2021-08-07;371
Midtjylland;2021-08-07;187
Nordjylland;2021-08-07;89
Sjælland;2021-08-07;60
Syddanmark;2021-08-07;124
Hovedstaden;2021-08-08;386
Midtjylland;2021-08-08;227
Nordjylland;2021-08-08;115
Sjælland;2021-08-08;86
Syddanmark;2021-08-08;154
Hovedstaden;2021-08-09;466
Midtjylland;2021-08-09;197
Nordjylland;2021-08-09;118
Sjælland;2021-08-09;121
Syddanmark;2021-08-09;173
Hovedstaden;2021-08-10;408
Midtjylland;2021-08-10;253
Nordjylland;2021-08-10;112
Sjælland;2021-08-10;109
Syddanmark;2021-08-10;177
Hovedstaden;2021-08-11;386
Midtjylland;2021-08-11;231
Nordjylland;2021-08-11;102
Sjælland;2021-08-11;123
Syddanmark;2021-08-11;133
Hovedstaden;2021-08-12;374
Midtjylland;2021-08-12;252
Nordjylland;2021-08-12;110
Sjælland;2021-08-12;112
Syddanmark;2021-08-12;142
Hovedstaden;2021-08-13;392
Midtjylland;2021-08-13;204
Nordjylland;2021-08-13;104
Sjælland;2021-08-13;123
Syddanmark;2021-08-13;130
Hovedstaden;2021-08-14;320
Midtjylland;2021-08-14;197
Nordjylland;2021-08-14;77
Sjælland;2021-08-14;73
Syddanmark;2021-08-14;147
Hovedstaden;2021-08-15;388
Midtjylland;2021-08-15;240
Nordjylland;2021-08-15;67
Sjælland;2021-08-15;73
Syddanmark;2021-08-15;162
Hovedstaden;2021-08-16;416
Midtjylland;2021-08-16;249
Nordjylland;2021-08-16;100
Sjælland;2021-08-16;98
Syddanmark;2021-08-16;222
Hovedstaden;2021-08-17;364
Midtjylland;2021-08-17;244
Nordjylland;2021-08-17;105
Sjælland;2021-08-17;85
Syddanmark;2021-08-17;213
Hovedstaden;2021-08-18;417
Midtjylland;2021-08-18;208
Nordjylland;2021-08-18;84
Sjælland;2021-08-18;88
Syddanmark;2021-08-18;170
Hovedstaden;2021-08-19;426
Midtjylland;2021-08-19;220
Nordjylland;2021-08-19;95
Sjælland;2021-08-19;91
Syddanmark;2021-08-19;179
Hovedstaden;2021-08-20;467
Midtjylland;2021-08-20;194
Nordjylland;2021-08-20;82
Sjælland;2021-08-20;100
Syddanmark;2021-08-20;137
Hovedstaden;2021-08-21;434
Midtjylland;2021-08-21;112
Nordjylland;2021-08-21;55
Sjælland;2021-08-21;59
Syddanmark;2021-08-21;98
Hovedstaden;2021-08-22;527
Midtjylland;2021-08-22;169
Nordjylland;2021-08-22;61
Sjælland;2021-08-22;72
Syddanmark;2021-08-22;145
Hovedstaden;2021-08-23;498
Midtjylland;2021-08-23;203
Nordjylland;2021-08-23;69
Sjælland;2021-08-23;96
Syddanmark;2021-08-23;169
Hovedstaden;2021-08-24;553
Midtjylland;2021-08-24;152
