"Region";"Dato";"Bekræftede tilfælde"
Sjælland;2020-05-26;7
Syddanmark;2020-05-26;5
Hovedstaden;2020-05-27;42
Midtjylland;2020-05-27;2
Sjælland;2020-05-27;8
Hovedstaden;2020-05-28;28
Sjælland;2020-05-28;7
Syddanmark;2020-05-28;2
Hovedstaden;2020-05-29;28
Sjælland;2020-05-29;11
Syddanmark;2020-05-29;3
Hovedstaden;2020-05-30;23
Sjælland;2020-05-30;9
Syddanmark;2020-05-30;1
Hovedstaden;2020-05-31;16
Sjælland;2020-05-31;6
Hovedstaden;2020-06-01;22
Midtjylland;2020-06-01;3
Sjælland;2020-06-01;8
Syddanmark;2020-06-01;2
Hovedstaden;2020-06-02;32
Midtjylland;2020-06-02;3
Sjælland;2020-06-02;16
Syddanmark;2020-06-02;4
Hovedstaden;2020-06-03;33
Sjælland;2020-06-03;18
Syddanmark;2020-06-03;1
Hovedstaden;2020-06-04;26
Midtjylland;2020-06-04;5
Sjælland;2020-06-04;6
Syddanmark;2020-06-04;4
Hovedstaden;2020-06-05;28
Sjælland;2020-06-05;4
Syddanmark;2020-06-05;2
Hovedstaden;2020-06-06;11
Midtjylland;2020-06-06;1
Sjælland;2020-06-06;2
Syddanmark;2020-06-06;1
Hovedstaden;2020-06-07;14
Hovedstaden;2020-06-08;29
Midtjylland;2020-06-08;3
Nordjylland;2020-06-08;1
Sjælland;2020-06-08;2
Syddanmark;2020-06-08;8
Hovedstaden;2020-06-09;21
Midtjylland;2020-06-09;1
Sjælland;2020-06-09;4
Syddanmark;2020-06-09;2
Hovedstaden;2020-06-10;19
Midtjylland;2020-06-10;2
Nordjylland;2020-06-10;9
Sjælland;2020-06-10;7
Syddanmark;2020-06-10;1
Hovedstaden;2020-06-11;36
Midtjylland;2020-06-11;1
Nordjylland;2020-06-11;2
Sjælland;2020-06-11;9
Hovedstaden;2020-06-12;26
Midtjylland;2020-06-12;4
Nordjylland;2020-06-12;25
Sjælland;2020-06-12;4
Syddanmark;2020-06-12;1
Hovedstaden;2020-06-13;19
Midtjylland;2020-06-13;2
Sjælland;2020-06-13;6
Hovedstaden;2020-06-14;9
Midtjylland;2020-06-14;1
Nordjylland;2020-06-14;8
Sjælland;2020-06-14;2
Hovedstaden;2020-06-15;31
Midtjylland;2020-06-15;1
Nordjylland;2020-06-15;3
Sjælland;2020-06-15;4
Hovedstaden;2020-06-16;25
Midtjylland;2020-06-16;5
Nordjylland;2020-06-16;7
Sjælland;2020-06-16;7
Syddanmark;2020-06-16;1
Hovedstaden;2020-06-17;41
Midtjylland;2020-06-17;3
Nordjylland;2020-06-17;16
Sjælland;2020-06-17;12
Syddanmark;2020-06-17;2
Hovedstaden;2020-06-18;35
Midtjylland;2020-06-18;1
Nordjylland;2020-06-18;2
Sjælland;2020-06-18;6
Syddanmark;2020-06-18;1
Hovedstaden;2020-06-19;24
Midtjylland;2020-06-19;2
Nordjylland;2020-06-19;1
Sjælland;2020-06-19;15
Hovedstaden;2020-06-20;30
Midtjylland;2020-06-20;2
Nordjylland;2020-06-20;2
Sjælland;2020-06-20;4
Hovedstaden;2020-06-21;25
Midtjylland;2020-06-21;1
Nordjylland;2020-06-21;3
Sjælland;2020-06-21;1
Syddanmark;2020-06-21;1
Hovedstaden;2020-06-22;39
Midtjylland;2020-06-22;1
Nordjylland;2020-06-22;3
Sjælland;2020-06-22;2
Hovedstaden;2020-06-23;8
Midtjylland;2020-06-23;4
Nordjylland;2020-06-23;4
Sjælland;2020-06-23;1
Syddanmark;2020-06-23;2
Hovedstaden;2020-06-24;15
Midtjylland;2020-06-24;3
Nordjylland;2020-06-24;17
Sjælland;2020-06-24;5
Syddanmark;2020-06-24;5
Hovedstaden;2020-06-25;18
Midtjylland;2020-06-25;5
Nordjylland;2020-06-25;5
Sjælland;2020-06-25;1
Syddanmark;2020-06-25;1
Hovedstaden;2020-06-26;12
Midtjylland;2020-06-26;3
Nordjylland;2020-06-26;2
Sjælland;2020-06-26;2
Syddanmark;2020-06-26;1
Hovedstaden;2020-06-27;6
Midtjylland;2020-06-27;3
Nordjylland;2020-06-27;9
Hovedstaden;2020-06-28;5
Midtjylland;2020-06-28;4
Nordjylland;2020-06-28;1
Syddanmark;2020-06-28;1
Hovedstaden;2020-06-29;20
Midtjylland;2020-06-29;1
Nordjylland;2020-06-29;2
Sjælland;2020-06-29;2
Syddanmark;2020-06-29;2
Hovedstaden;2020-06-30;10
Midtjylland;2020-06-30;2
Nordjylland;2020-06-30;6
Sjælland;2020-06-30;4
Syddanmark;2020-06-30;1
Hovedstaden;2020-07-01;6
Midtjylland;2020-07-01;2
Nordjylland;2020-07-01;2
Hovedstaden;2020-07-02;14
Midtjylland;2020-07-02;1
Hovedstaden;2020-07-03;11
Midtjylland;2020-07-03;1
Nordjylland;2020-07-03;5
Hovedstaden;2020-07-04;10
Nordjylland;2020-07-04;1
Syddanmark;2020-07-04;2
Hovedstaden;2020-07-05;8
Midtjylland;2020-07-05;1
Nordjylland;2020-07-05;1
Syddanmark;2020-07-05;1
Hovedstaden;2020-07-06;5
Nordjylland;2020-07-06;2
Sjælland;2020-07-06;1
Syddanmark;2020-07-06;1
Hovedstaden;2020-07-07;9
Midtjylland;2020-07-07;1
Nordjylland;2020-07-07;2
Syddanmark;2020-07-07;1
Hovedstaden;2020-07-08;19
Midtjylland;2020-07-08;1
Nordjylland;2020-07-08;3
Sjælland;2020-07-08;2
Syddanmark;2020-07-08;1
Hovedstaden;2020-07-09;22
Midtjylland;2020-07-09;4
Nordjylland;2020-07-09;6
Sjælland;2020-07-09;9
Hovedstaden;2020-07-10;23
Nordjylland;2020-07-10;3
Sjælland;2020-07-10;4
Syddanmark;2020-07-10;3
Hovedstaden;2020-07-11;20
Sjælland;2020-07-11;2
