"Region";"Dato";"Indlæggelser"
Nordjylland;2021-11-29;8
Sjælland;2021-11-29;16
Syddanmark;2021-11-29;15
Hovedstaden;2021-11-30;44
Midtjylland;2021-11-30;13
Nordjylland;2021-11-30;8
Sjælland;2021-11-30;14
Syddanmark;2021-11-30;18
Hovedstaden;2021-12-01;38
Midtjylland;2021-12-01;6
Nordjylland;2021-12-01;14
Sjælland;2021-12-01;15
Syddanmark;2021-12-01;8
Hovedstaden;2021-12-02;39
Midtjylland;2021-12-02;13
Nordjylland;2021-12-02;7
Sjælland;2021-12-02;15
Syddanmark;2021-12-02;13
Hovedstaden;2021-12-03;36
Midtjylland;2021-12-03;16
Nordjylland;2021-12-03;11
Sjælland;2021-12-03;18
Syddanmark;2021-12-03;18
Hovedstaden;2021-12-04;41
Midtjylland;2021-12-04;10
Nordjylland;2021-12-04;12
Sjælland;2021-12-04;14
Syddanmark;2021-12-04;11
Hovedstaden;2021-12-05;37
Midtjylland;2021-12-05;10
Nordjylland;2021-12-05;9
Sjælland;2021-12-05;10
Syddanmark;2021-12-05;13
Hovedstaden;2021-12-06;53
Midtjylland;2021-12-06;15
Nordjylland;2021-12-06;11
Sjælland;2021-12-06;19
Syddanmark;2021-12-06;10
Hovedstaden;2021-12-07;40
Midtjylland;2021-12-07;12
Nordjylland;2021-12-07;7
Sjælland;2021-12-07;20
Syddanmark;2021-12-07;11
Hovedstaden;2021-12-08;47
Midtjylland;2021-12-08;11
Nordjylland;2021-12-08;2
Sjælland;2021-12-08;22
Syddanmark;2021-12-08;12
Hovedstaden;2021-12-09;45
Midtjylland;2021-12-09;11
Sjælland;2021-12-09;13
Syddanmark;2021-12-09;8
Hovedstaden;2021-12-10;6
Sjælland;2021-12-10;2
Syddanmark;2021-12-10;1
