"Region";"Dato";"Indlæggelser"
Hovedstaden;2020-05-09;4
Midtjylland;2020-05-09;3
Sjælland;2020-05-09;3
Hovedstaden;2020-05-10;7
Sjælland;2020-05-10;2
Syddanmark;2020-05-10;1
Hovedstaden;2020-05-11;6
Sjælland;2020-05-11;1
Syddanmark;2020-05-11;1
Hovedstaden;2020-05-12;6
Midtjylland;2020-05-12;2
Hovedstaden;2020-05-13;4
Sjælland;2020-05-13;2
Hovedstaden;2020-05-14;9
Sjælland;2020-05-14;2
Syddanmark;2020-05-14;2
Hovedstaden;2020-05-15;5
Nordjylland;2020-05-15;1
Sjælland;2020-05-15;7
Syddanmark;2020-05-15;4
Hovedstaden;2020-05-16;1
Midtjylland;2020-05-16;1
Sjælland;2020-05-16;1
Syddanmark;2020-05-16;2
Hovedstaden;2020-05-17;2
Midtjylland;2020-05-17;2
Hovedstaden;2020-05-18;9
Midtjylland;2020-05-18;1
Sjælland;2020-05-18;2
Syddanmark;2020-05-18;2
Hovedstaden;2020-05-19;4
Midtjylland;2020-05-19;1
Sjælland;2020-05-19;2
Hovedstaden;2020-05-20;2
Midtjylland;2020-05-20;2
Sjælland;2020-05-20;3
Hovedstaden;2020-05-21;3
Sjælland;2020-05-21;3
Hovedstaden;2020-05-22;9
Midtjylland;2020-05-22;2
Sjælland;2020-05-22;2
Hovedstaden;2020-05-23;5
Midtjylland;2020-05-23;1
Sjælland;2020-05-23;3
Hovedstaden;2020-05-24;1
Sjælland;2020-05-24;1
Hovedstaden;2020-05-25;4
Syddanmark;2020-05-25;2
Hovedstaden;2020-05-26;7
Nordjylland;2020-05-26;1
Syddanmark;2020-05-26;3
Hovedstaden;2020-05-27;5
Sjælland;2020-05-27;2
Hovedstaden;2020-05-28;5
Hovedstaden;2020-05-29;8
Sjælland;2020-05-29;1
Hovedstaden;2020-05-30;5
Midtjylland;2020-05-30;1
Sjælland;2020-05-30;1
Hovedstaden;2020-05-31;3
Syddanmark;2020-05-31;1
Hovedstaden;2020-06-01;3
Midtjylland;2020-06-01;1
Syddanmark;2020-06-01;1
Hovedstaden;2020-06-02;4
Sjælland;2020-06-02;2
Hovedstaden;2020-06-03;1
Sjælland;2020-06-03;2
Hovedstaden;2020-06-04;2
Sjælland;2020-06-04;2
Syddanmark;2020-06-04;1
Hovedstaden;2020-06-05;7
Sjælland;2020-06-05;1
Syddanmark;2020-06-05;1
Hovedstaden;2020-06-06;2
Hovedstaden;2020-06-07;3
Syddanmark;2020-06-07;1
Hovedstaden;2020-06-08;3
Sjælland;2020-06-08;1
Sjælland;2020-06-09;1
Nordjylland;2020-06-10;1
Nordjylland;2020-06-11;1
Hovedstaden;2020-06-12;3
Nordjylland;2020-06-12;1
Sjælland;2020-06-12;2
Hovedstaden;2020-06-13;3
Sjælland;2020-06-13;1
Hovedstaden;2020-06-14;1
Hovedstaden;2020-06-15;1
Sjælland;2020-06-15;1
Hovedstaden;2020-06-16;2
Nordjylland;2020-06-16;1
Sjælland;2020-06-16;3
Hovedstaden;2020-06-17;2
Nordjylland;2020-06-17;2
Syddanmark;2020-06-17;1
Hovedstaden;2020-06-18;1
Nordjylland;2020-06-18;1
Hovedstaden;2020-06-19;2
Sjælland;2020-06-19;2
Hovedstaden;2020-06-20;1
Nordjylland;2020-06-20;2
Sjælland;2020-06-20;1
Hovedstaden;2020-06-21;2
Midtjylland;2020-06-21;1
Nordjylland;2020-06-21;1
Hovedstaden;2020-06-22;2
Nordjylland;2020-06-22;2
Sjælland;2020-06-22;1
Hovedstaden;2020-06-23;1
Midtjylland;2020-06-23;2
Nordjylland;2020-06-23;1
Hovedstaden;2020-06-24;3
