date,region,cases,hospit,deaths,population,cases_smoothed,hospit_smoothed,deaths_smoothed,cases_per_100000,hospit_per_100000,deaths_per_100000,cases_incidence,hospit_incidence,deaths_incidence,cumulative_cases,cumulative_hospit,cumulative_deaths
2020-12-27,central,416,17,5,1332048,414.85714285714283,24.428571428571427,3.7142857142857144,31.230105822012423,1.2762302859956998,0.37536184882226464,212.75509591245958,11.26085546466794,1.4263750255246057,28548,1243,172
2020-12-28,central,568,41,6,1332048,414.14285714285717,23.285714285714285,4.285714285714286,42.641106026209265,3.0779671603425705,0.45043421858671756,216.88407624950455,12.762302859956998,1.6515921348179645,29116,1284,178
2020-12-29,central,520,29,4,1332048,416.57142857142856,22.714285714285715,3.857142857142857,39.03763227751553,2.177098723169135,0.3002894790578117,220.63769473772717,13.513026557601528,1.8768092441113233,29636,1313,182
2020-12-30,central,480,17,2,1332048,413.14285714285717,22.285714285714285,4.285714285714286,36.0347374869374,1.2762302859956998,0.15014473952890586,218.01016179597133,12.837375229721452,1.9518816138757764,30116,1330,184
2020-12-31,central,241,13,5,1332048,400.85714285714283,21.285714285714285,4.428571428571429,18.092441113233157,0.9759408069378882,0.37536184882226464,217.63479994714908,12.236796271605828,2.2521710929335876,30357,1343,189
2021-01-01,central,231,21,2,1332048,385.14285714285717,19.428571428571427,3.857142857142857,17.34171741558863,1.5765197650535114,0.15014473952890586,218.91103023314474,11.936506792548016,2.026953983640229,30588,1364,191
2021-01-02,central,436,18,6,1332048,355.85714285714283,18.285714285714285,3.7142857142857144,32.73155321730148,1.3513026557601528,0.45043421858671756,217.10929335879788,11.711289683254659,2.2521710929335876,31024,1382,197
2021-01-03,central,330,10,6,1332048,327.14285714285717,18.714285714285715,4.142857142857143,24.77388202226947,0.7507236976445293,0.45043421858671756,210.65306955905493,11.185783094903487,2.327243462698041,31354,1392,203
2021-01-04,central,458,28,2,1332048,340.7142857142857,19.285714285714285,4.0,34.38314535211945,2.102026353404682,0.15014473952890586,202.3951088849651,10.209842287965598,2.026953983640229,31812,1420,205
2021-01-05,central,315,21,3,1332048,343.85714285714283,19.428571428571427,4.285714285714286,23.647796475802675,1.5765197650535114,0.22521710929335878,187.00527308325226,9.609263329849975,1.9518816138757764,32127,1441,208
2021-01-06,central,279,20,5,1332048,313.2857142857143,18.714285714285715,4.142857142857143,20.94519116428237,1.5014473952890586,0.37536184882226464,171.9157267605972,9.834480439143334,2.1770987231691357,32406,1461,213
2021-01-07,central,336,17,4,1332048,292.57142857142856,19.571428571428573,4.571428571428571,25.224316240856183,1.2762302859956998,0.3002894790578117,179.04760188822024,10.134769918201146,2.102026353404682,32742,1478,217
2021-01-08,central,253,22,4,1332048,255.14285714285714,19.0,4.857142857142857,18.993309550406593,1.6515921348179645,0.3002894790578117,180.69919402303822,10.209842287965598,2.2521710929335876,32995,1500,221
2021-01-09,central,222,13,5,1332048,235.57142857142858,19.0,5.285714285714286,16.66606608770855,0.9759408069378882,0.37536184882226464,164.6337068934453,9.834480439143334,2.1770987231691357,33217,1513,226
2021-01-10,central,185,16,9,1332048,220.14285714285714,17.857142857142858,5.285714285714286,13.888388406423793,1.201157916231247,0.6756513278800764,153.7482132775996,10.28491465773005,2.402315832462494,33402,1529,235
2021-01-11,central,196,24,4,1332048,198.85714285714286,17.857142857142858,5.571428571428571,14.714184473832775,1.8017368743468702,0.3002894790578117,134.07925239931294,9.98462517867224,2.5524605719913995,33598,1553,239
2021-01-12,central,178,21,6,1332048,179.42857142857142,16.857142857142858,5.714285714285714,13.362881818072621,1.5765197650535114,0.45043421858671756,123.7943377415829,9.98462517867224,2.7776776812847586,33776,1574,245
2021-01-13,central,171,12,5,1332048,158.0,16.857142857142858,5.571428571428571,12.837375229721452,0.9008684371734351,0.37536184882226464,115.68652180702196,9.384046220556616,2.7776776812847586,33947,1586,250
2021-01-14,central,187,17,6,1332048,142.71428571428572,15.285714285714286,4.857142857142857,14.038533145952698,1.2762302859956998,0.45043421858671756,104.50073871211849,9.384046220556616,2.9278224208136647,34134,1603,256
2021-01-15,central,117,15,5,1332048,131.71428571428572,14.857142857142858,4.857142857142857,8.783467262440993,1.1260855464667938,0.37536184882226464,94.29089642415289,8.858539632205446,3.002894790578117,34251,1618,261
2021-01-16,central,72,13,4,1332048,122.28571428571429,13.285714285714286,5.142857142857143,5.405210623040611,0.9759408069378882,0.3002894790578117,83.03004095948495,8.858539632205446,2.9278224208136647,34323,1631,265
2021-01-17,central,78,5,4,1332048,113.57142857142857,12.428571428571429,5.142857142857143,5.8556448416273295,0.37536184882226464,0.3002894790578117,74.99729739468849,8.032743564796464,2.5524605719913995,34401,1636,269
2021-01-18,central,119,21,4,1332048,104.0,11.285714285714286,4.857142857142857,8.933612001969898,1.5765197650535114,0.3002894790578117,69.2167249228256,7.807526455503106,2.5524605719913995,34520,1657,273
2021-01-19,central,112,10,8,1332048,100.85714285714286,10.714285714285714,4.571428571428571,8.408105413618728,0.7507236976445293,0.6005789581156235,64.26194851837171,6.981730388094123,2.7026053115203057,34632,1667,281
2021-01-20,central,110,6,5,1332048,102.57142857142857,9.428571428571429,4.857142857142857,8.257960674089823,0.45043421858671756,0.37536184882226464,59.68253396274008,6.531296169507406,2.7026053115203057,34742,1673,286
2021-01-21,central,120,9,4,1332048,99.28571428571429,9.857142857142858,4.857142857142857,9.00868437173435,0.6756513278800764,0.3002894790578117,54.65268518852174,5.930717211391782,2.5524605719913995,34862,1682,290
2021-01-22,central,95,11,3,1332048,94.14285714285714,7.857142857142857,5.142857142857143,7.1318751276230286,0.8257960674089823,0.22521710929335878,53.00109305370378,5.63042773233397,2.402315832462494,34957,1693,293
2021-01-23,central,84,4,6,1332048,91.57142857142857,7.142857142857143,4.142857142857143,6.306079060214046,0.3002894790578117,0.45043421858671756,53.901961490877206,4.954776404453894,2.5524605719913995,35041,1697,299
2021-01-24,central,55,8,4,1332048,84.85714285714286,7.0,3.4285714285714284,4.128980337044911,0.6005789581156235,0.3002894790578117,52.17529698629479,5.179993513747252,2.5524605719913995,35096,1705,303
2021-01-25,central,83,7,6,1332048,77.85714285714286,6.714285714285714,3.4285714285714284,6.231006690449593,0.5255065883511705,0.45043421858671756,49.47269167477448,4.128980337044911,2.7026053115203057,35179,1712,309
2021-01-26,central,94,5,1,1332048,70.71428571428571,6.0,3.2857142857142856,7.056802757858575,0.37536184882226464,0.07507236976445293,48.12138901901433,3.7536184882226467,2.1770987231691357,35273,1717,310
2021-01-27,central,63,5,0,1332048,64.14285714285714,5.857142857142857,2.5714285714285716,4.729559295160534,0.37536184882226464,0.0,44.59298764008504,3.678546118458194,1.8017368743468702,35336,1722,310
2021-01-28,central,71,7,4,1332048,62.714285714285715,5.714285714285714,2.142857142857143,5.330138253276158,0.5255065883511705,0.3002894790578117,40.91444152162685,3.5284013789292876,1.8017368743468702,35407,1729,314
2021-01-29,central,45,6,2,1332048,60.142857142857146,5.428571428571429,1.7142857142857142,3.378256639400382,0.45043421858671756,0.15014473952890586,37.1608230334042,3.153039530107023,1.7266645045824176,35452,1735,316
2021-01-30,central,38,3,1,1332048,55.57142857142857,5.142857142857143,1.7142857142857142,2.8527500510492114,0.22521710929335878,0.07507236976445293,33.70749402423937,3.0779671603425705,1.3513026557601528,35490,1738,317
2021-01-31,central,45,7,1,1332048,54.42857142857143,4.714285714285714,2.2857142857142856,3.378256639400382,0.5255065883511705,0.07507236976445293,32.956770326594835,3.002894790578117,1.1260855464667938,35535,1745,318
2021-02-01,central,65,5,3,1332048,54.0,4.285714285714286,1.8571428571428572,4.879704034689441,0.37536184882226464,0.22521710929335878,31.60546767083468,2.8527500510492114,0.9008684371734351,35600,1750,321
2021-02-02,central,62,3,1,1332048,57.142857142857146,4.0,1.7142857142857142,4.654486925396082,0.22521710929335878,0.07507236976445293,29.20315183837219,2.7026053115203057,0.9008684371734351,35662,1753,322
2021-02-03,central,55,2,4,1332048,61.57142857142857,3.857142857142857,1.7142857142857142,4.128980337044911,0.15014473952890586,0.3002894790578117,28.60257288025657,2.477388202226947,1.201157916231247,35717,1755,326
2021-02-04,central,68,4,1,1332048,66.0,3.0,1.5714285714285714,5.104921143982799,0.3002894790578117,0.07507236976445293,28.37735577096321,2.2521710929335876,0.9759408069378882,35785,1759,327
2021-02-05,central,67,4,1,1332048,66.28571428571429,2.857142857142857,1.4285714285714286,5.029848774218347,0.3002894790578117,0.07507236976445293,30.028947905781173,2.102026353404682,0.9008684371734351,35852,1763,328
2021-02-06,central,69,2,1,1332048,67.71428571428571,2.5714285714285716,1.2857142857142858,5.179993513747252,0.15014473952890586,0.07507236976445293,32.356191368479216,2.026953983640229,0.9008684371734351,35921,1765,329
2021-02-07,central,76,1,0,1332048,72.42857142857143,3.0,0.7142857142857143,5.705500102098423,0.07507236976445293,0.0,34.68343483117726,1.5765197650535114,0.8257960674089823,35997,1766,329
2021-02-08,central,67,4,2,1332048,71.14285714285714,3.142857142857143,0.5714285714285714,5.029848774218347,0.3002894790578117,0.15014473952890586,34.83357957070617,1.5014473952890586,0.7507236976445293,36064,1770,331
2021-02-09,central,72,1,0,1332048,67.14285714285714,2.857142857142857,0.42857142857142855,5.405210623040611,0.07507236976445293,0.0,35.58430326835068,1.3513026557601528,0.6756513278800764,36136,1771,331
2021-02-10,central,88,5,0,1332048,65.28571428571429,2.857142857142857,0.42857142857142855,6.606368539271858,0.37536184882226464,0.0,38.061691470577635,1.5765197650535114,0.37536184882226464,36224,1776,331
2021-02-11,central,59,5,0,1332048,60.714285714285715,3.142857142857143,0.42857142857142855,4.429269816102723,0.37536184882226464,0.0,37.38604014269756,1.6515921348179645,0.3002894790578117,36283,1781,331
2021-02-12,central,39,2,0,1332048,60.142857142857146,3.142857142857143,0.14285714285714285,2.9278224208136647,0.15014473952890586,0.0,35.28401378929288,1.5014473952890586,0.22521710929335878,36322,1783,331
2021-02-13,central,56,2,1,1332048,61.857142857142854,3.2857142857142856,0.2857142857142857,4.204052706809364,0.15014473952890586,0.07507236976445293,34.30807298235499,1.5014473952890586,0.22521710929335878,36378,1785,332
2021-02-14,central,44,3,0,1332048,60.142857142857146,3.142857142857143,0.2857142857142857,3.303184269635929,0.22521710929335878,0.0,31.905757149892498,1.6515921348179645,0.22521710929335878,36422,1788,332
2021-02-15,central,63,4,0,1332048,64.14285714285714,3.0,0.7142857142857143,4.729559295160534,0.3002894790578117,0.0,31.60546767083468,1.6515921348179645,0.07507236976445293,36485,1792,332
2021-02-16,central,84,2,1,1332048,65.71428571428571,2.857142857142857,0.7142857142857143,6.306079060214046,0.15014473952890586,0.07507236976445293,32.50633610800812,1.7266645045824176,0.15014473952890586,36569,1794,333
2021-02-17,central,76,4,0,1332048,67.0,2.7142857142857144,0.5714285714285714,5.705500102098423,0.3002894790578117,0.0,31.60546767083468,1.6515921348179645,0.15014473952890586,36645,1798,333
2021-02-18,central,87,4,3,1332048,72.14285714285714,2.4285714285714284,0.7142857142857143,6.531296169507406,0.3002894790578117,0.22521710929335878,33.70749402423937,1.5765197650535114,0.37536184882226464,36732,1802,336
2021-02-19,central,50,1,0,1332048,74.85714285714286,2.4285714285714284,0.7142857142857143,3.7536184882226467,0.07507236976445293,0.0,34.53329009164835,1.5014473952890586,0.37536184882226464,36782,1803,336
2021-02-20,central,65,1,0,1332048,71.57142857142857,2.4285714285714284,0.5714285714285714,4.879704034689441,0.07507236976445293,0.0,35.20894141952842,1.4263750255246057,0.3002894790578117,36847,1804,336
2021-02-21,central,80,1,1,1332048,69.28571428571429,2.2857142857142856,0.5714285714285714,6.005789581156234,0.07507236976445293,0.07507236976445293,37.91154673104873,1.2762302859956998,0.37536184882226464,36927,1805,337
2021-02-22,central,82,4,0,1332048,65.71428571428571,2.5714285714285716,0.14285714285714285,6.155934320685141,0.3002894790578117,0.0,39.33792175657334,1.2762302859956998,0.37536184882226464,37009,1809,337
2021-02-23,central,61,2,0,1332048,65.0,2.857142857142857,0.2857142857142857,4.5794145556316295,0.15014473952890586,0.0,37.61125725199092,1.2762302859956998,0.3002894790578117,37070,1811,337
2021-02-24,central,60,3,0,1332048,62.857142857142854,3.2857142857142856,0.2857142857142857,4.504342185867175,0.22521710929335878,0.0,36.410099335759675,1.201157916231247,0.3002894790578117,37130,1814,337
2021-02-25,central,62,6,0,1332048,58.0,3.2857142857142856,0.14285714285714285,4.654486925396082,0.45043421858671756,0.0,34.53329009164835,1.3513026557601528,0.07507236976445293,37192,1820,337
2021-02-26,central,45,3,1,1332048,55.42857142857143,3.0,0.14285714285714285,3.378256639400382,0.22521710929335878,0.07507236976445293,34.15792824282609,1.5014473952890586,0.15014473952890586,37237,1823,338
2021-02-27,central,50,4,0,1332048,58.42857142857143,3.0,0.2857142857142857,3.7536184882226467,0.3002894790578117,0.0,33.03184269635929,1.7266645045824176,0.15014473952890586,37287,1827,338
2021-02-28,central,46,1,0,1332048,60.42857142857143,2.7142857142857144,0.2857142857142857,3.453329009164835,0.07507236976445293,0.0,30.479382124367888,1.7266645045824176,0.07507236976445293,37333,1828,338
2021-03-01,central,64,2,0,1332048,58.285714285714285,2.2857142857142856,0.2857142857142857,4.804631664924988,0.15014473952890586,0.0,29.12807946860774,1.5765197650535114,0.07507236976445293,37397,1830,338
2021-03-02,central,82,2,1,1332048,60.142857142857146,2.5714285714285716,0.14285714285714285,6.155934320685141,0.15014473952890586,0.07507236976445293,30.70459923366125,1.5765197650535114,0.15014473952890586,37479,1832,339
2021-03-03,central,74,1,0,1332048,59.57142857142857,2.7142857142857144,0.14285714285714285,5.555355362569517,0.07507236976445293,0.0,31.755612410363593,1.4263750255246057,0.15014473952890586,37553,1833,339
2021-03-04,central,47,3,0,1332048,63.42857142857143,2.7142857142857144,0.14285714285714285,3.5284013789292876,0.22521710929335878,0.0,30.629526863896796,1.201157916231247,0.15014473952890586,37600,1836,339
2021-03-05,central,58,5,0,1332048,67.42857142857143,2.7142857142857144,0.14285714285714285,4.35419744633827,0.37536184882226464,0.0,31.60546767083468,1.3513026557601528,0.07507236976445293,37658,1841,339
2021-03-06,central,46,5,0,1332048,68.42857142857143,2.5714285714285716,0.0,3.453329009164835,0.37536184882226464,0.0,31.30517819177687,1.4263750255246057,0.07507236976445293,37704,1846,339
